Wall time,Step,Value
1661458021.9248965,299,0.1532191038131714
1661458043.8788953,599,0.10076582431793213
1661458054.759396,749,0.12054920196533203
1661458058.6083956,799,0.10856711864471436
1661458069.5538955,949,0.09963929653167725
1661458091.2123957,1249,0.07009029388427734
1661458135.5453951,1849,0.06589674949645996
1661458150.4838965,2049,0.06124669313430786
1661458157.9008982,2149,0.0611194372177124
1661458165.411396,2249,0.0840522050857544
1661458169.1098957,2299,0.07528126239776611
1661458176.4943957,2399,0.0602264404296875
1661458198.9128954,2699,0.06246328353881836
1661458202.646897,2749,0.06064629554748535
1661458206.3568957,2799,0.06507915258407593
1661458210.0973952,2849,0.06855028867721558
1661458244.3218968,3299,0.07907682657241821
1661458255.2738957,3449,0.06763362884521484
1661458266.3943968,3599,0.05830812454223633
1661458270.1993957,3649,0.07416766881942749
1661458273.9948957,3699,0.06655192375183105
1661458277.8178964,3749,0.055335402488708496
1661458296.6943953,3999,0.09240078926086426
1661458326.4853976,4399,0.05772024393081665
1661458352.252897,4749,0.059420228004455566
1661458381.0753956,5149,0.0621371865272522
1661458392.1878955,5299,0.056710779666900635
1661458395.9768963,5349,0.05048483610153198
1661458421.9703958,5699,0.0598565936088562
1661458441.490896,5949,0.05868494510650635
1661458473.6033967,6349,0.05567508935928345
1661458484.8968954,6499,0.06487208604812622
1661458488.743395,6549,0.07188951969146729
1661458526.6548274,6999,0.04703569412231445
1661458533.8203254,7099,0.04573100805282593
1661458537.538827,7149,0.059514254331588745
1661458541.3493257,7199,0.057614922523498535
1661458567.409826,7549,0.06628286838531494
1661458585.9793243,7799,0.06609994173049927
1661458593.4258244,7899,0.05112719535827637
1661458597.172826,7949,0.04880326986312866
1661458612.1948256,8149,0.047888755798339844
1661458630.6968255,8399,0.06070739030838013
1661458634.3963253,8449,0.052121877670288086
1661458645.7168245,8599,0.06144419312477112
1661458668.1988273,8899,0.0574345588684082
1661458671.9768257,8949,0.04928410053253174
1661458679.5623267,9049,0.054138779640197754
1661458690.7783263,9199,0.047689855098724365
1661458698.2508264,9299,0.04697328805923462
1661458701.9568262,9349,0.043471693992614746
1661458709.3873272,9449,0.048377037048339844
1661458716.747326,9549,0.05863279104232788
1661458720.4408262,9599,0.058115601539611816
1661458745.9718263,9949,0.04755687713623047
1661458774.6458254,10349,0.04314953088760376
1661458778.1173258,10399,0.063967764377594
1661458781.6308272,10449,0.05241858959197998
1661458795.7333262,10649,0.042539000511169434
1661458831.4908257,11149,0.047178030014038086
1661458835.0733263,11199,0.0501369833946228
1661458842.4218256,11299,0.060957878828048706
1661458856.8758247,11499,0.04174697399139404
1661458867.567326,11649,0.048849403858184814
1661458871.1298244,11699,0.041590988636016846
1661458874.7083254,11749,0.05901724100112915
1661458885.4213276,11899,0.057495057582855225
1661458930.0787785,12499,0.04937279224395752
1661458951.569279,12799,0.04707300662994385
1661458962.2812803,12949,0.04638189077377319
1661458969.4147787,13049,0.041886985301971436
1661458972.9942794,13099,0.04139584302902222
1661458980.11178,13199,0.040081799030303955
1661458994.423279,13399,0.04685938358306885
1661459008.5592778,13599,0.04424041509628296
1661459015.6377783,13699,0.04332995414733887
1661459033.5257783,13949,0.04655325412750244
1661459083.5917802,14649,0.03698122501373291
1661459101.4092784,14899,0.03802257776260376
1661459104.9782796,14949,0.04064679145812988
1661459119.2052817,15149,0.047753334045410156
1661459122.7392788,15199,0.036508142948150635
1661459136.9717777,15399,0.04495048522949219
1661459140.5367792,15449,0.05200153589248657
1661459147.6997788,15549,0.04325944185256958
1661459158.3002784,15699,0.0519292950630188
1661459176.1067784,15949,0.04846084117889404
1661459179.6597776,15999,0.03780478239059448
1661459183.2357786,16049,0.04862260818481445
1661459201.41478,16299,0.04246234893798828
1661459205.164278,16349,0.04590487480163574
1661459208.97578,16399,0.0371890664100647
1661459220.2107794,16549,0.05280870199203491
1661459253.7852788,16999,0.03875380754470825
1661459261.2412786,17099,0.05596816539764404
1661459283.8607786,17399,0.041164278984069824
1661459330.8732796,18049,0.03728461265563965
1661459342.0717785,18199,0.03707379102706909
1661459358.9843118,18399,0.036917030811309814
1661459373.7843137,18599,0.0435938835144043
1661459381.3438127,18699,0.039726197719573975
1661459396.3233137,18899,0.051610082387924194
1661459400.0278132,18949,0.042435526847839355
1661459403.8703127,18999,0.041659653186798096
1661459411.346814,19099,0.03448253870010376
1661459430.2723122,19349,0.041775286197662354
1661459448.8748121,19599,0.03587073087692261
1661459452.582313,19649,0.03882753849029541
1661459512.2868123,20449,0.03726851940155029
1661459538.402313,20799,0.0378342866897583
1661459560.7808125,21099,0.039056360721588135
1661459564.469813,21149,0.03531956672668457
1661459571.943815,21249,0.0398406982421875
1661459594.4393125,21549,0.04536855220794678
1661459627.970812,21999,0.037775635719299316
1661459635.439313,22099,0.03952932357788086
1661459639.189312,22149,0.034126102924346924
1661459650.3383114,22299,0.03810042142868042
1661459672.6888132,22599,0.042143940925598145
1661459701.7698145,22999,0.03316330909729004
1661459705.3443117,23049,0.03301346302032471
1661459716.142812,23199,0.037592947483062744
1661459719.7588124,23249,0.040811896324157715
1661459751.8803117,23699,0.032671570777893066
1661459755.494812,23749,0.03926420211791992
1661459795.2913125,24299,0.03948616981506348
1661459808.3036413,24449,0.03374290466308594
1661459811.854639,24499,0.04155588150024414
1661459819.0261388,24599,0.03871273994445801
1661459826.2006392,24699,0.03990277647972107
1661459876.480639,25399,0.03649425506591797
1661459894.3301394,25649,0.033797502517700195
1661459901.5526395,25749,0.03569149971008301
1661459912.1696415,25899,0.03864818811416626
1661459919.3016393,25999,0.038867175579071045
1661459937.4936402,26249,0.0364459753036499
1661459941.1706405,26299,0.03986692428588867
1661459962.760639,26599,0.03684401512145996
1661459969.9311385,26699,0.032439470291137695
1661459973.4766402,26749,0.03282821178436279
1661459980.9361427,26849,0.03474879264831543
1661459984.5496397,26899,0.033605337142944336
1661459995.2671406,27049,0.030996263027191162
1661460002.5836408,27149,0.03314167261123657
1661460020.970139,27399,0.03662842512130737
1661460024.46964,27449,0.030817270278930664
1661460056.8196392,27899,0.04286879301071167
1661460063.9161394,27999,0.03851747512817383
1661460078.328141,28199,0.042413949966430664
1661460081.97464,28249,0.0329737663269043
1661460085.5441403,28299,0.03668320178985596
1661460099.8211405,28499,0.039060235023498535
1661460114.109139,28699,0.0348241925239563
1661460117.6671395,28749,0.03405594825744629
1661460128.316143,28899,0.038805246353149414
1661460135.4856396,28999,0.03492051362991333
1661460142.6926417,29099,0.03450101613998413
1661460146.5331464,29149,0.03367346525192261
1661460150.334639,29199,0.03293311595916748
1661460154.0856404,29249,0.0362553596496582
1661460161.4246411,29349,0.033602237701416016
1661460165.00564,29399,0.04675847291946411
1661460182.722639,29649,0.036935508251190186
1661460186.2466397,29699,0.0413740873336792
1661460211.59164,30049,0.03434622287750244
1661460218.65614,30149,0.044483304023742676
1661460240.611141,30449,0.03650277853012085
1661460250.2332928,30549,0.03630560636520386
1661460268.635291,30799,0.03526514768600464
1661460286.84829,31049,0.03513425588607788
1661460294.251791,31149,0.037766218185424805
1661460337.3652928,31749,0.04470580816268921
1661460362.3777912,32099,0.037815630435943604
1661460366.002292,32149,0.040314316749572754
1661460373.201292,32249,0.034851133823394775
1661460376.8427918,32299,0.03714609146118164
1661460380.3822968,32349,0.040176331996917725
1661460384.0402935,32399,0.037071943283081055
1661460391.6657908,32499,0.032941997051239014
1661460403.929792,32649,0.03442251682281494
1661460418.9112914,32849,0.033336341381073
1661460422.528792,32899,0.03905141353607178
1661460437.1912916,33099,0.03321957588195801
1661460448.202292,33249,0.03793895244598389
1661460462.5052903,33449,0.03822684288024902
1661460473.2042897,33599,0.02991539239883423
1661460476.752792,33649,0.03936988115310669
1661460483.8912919,33749,0.03540831804275513
1661460487.437794,33799,0.03534519672393799
1661460494.601291,33899,0.035772085189819336
1661460498.1637912,33949,0.048953503370285034
1661460501.6607916,33999,0.03282606601715088
1661460512.515291,34149,0.033749401569366455
1661460516.1642911,34199,0.03693634271621704
1661460519.9182925,34249,0.03445857763290405
1661460527.1892905,34349,0.0339432954788208
1661460534.3327904,34449,0.04155611991882324
1661460538.0312905,34499,0.046204328536987305
1661460563.9142916,34849,0.034919023513793945
1661460575.2097907,34999,0.0335162878036499
1661460589.4902902,35199,0.03542685508728027
1661460600.173291,35349,0.03130948543548584
1661460607.497291,35449,0.06418287754058838
1661460614.695791,35549,0.036574602127075195
1661460628.9637911,35749,0.031906843185424805
1661460643.332791,35949,0.03701448440551758
1661460654.3057911,36099,0.03805887699127197
1661460657.912291,36149,0.033916175365448
1661460661.9265444,36199,0.037779152393341064
1661460665.5555437,36249,0.036479830741882324
1661460687.3200455,36549,0.030353188514709473
1661460711.3010437,36849,0.03476405143737793
1661460718.6345472,36949,0.028861701488494873
1661460722.2885442,36999,0.0325627326965332
1661460736.9495435,37199,0.03299194574356079
1661460747.6280475,37349,0.03497743606567383
1661460751.2415473,37399,0.03394198417663574
1661460762.3660479,37549,0.033777475357055664
1661460766.0320482,37599,0.036721110343933105
1661460769.6660438,37649,0.03386127948760986
1661460776.9965446,37749,0.03260284662246704
1661460784.268544,37849,0.03123939037322998
1661460805.886544,38149,0.036419570446014404
1661460816.7960439,38299,0.035561203956604004
1661460820.5940456,38349,0.037526726722717285
1661460831.559543,38499,0.032474398612976074
1661460835.2625453,38549,0.031366586685180664
1661460838.9965456,38599,0.03377246856689453
1661460846.2960458,38699,0.031044960021972656
1661460849.9350443,38749,0.033441245555877686
1661460872.6180444,39049,0.03214287757873535
1661460887.102043,39249,0.04033541679382324
1661460890.647544,39299,0.030231893062591553
1661460897.8620439,39399,0.028949618339538574
1661460904.9985435,39499,0.035973966121673584
1661460912.0950434,39599,0.0359196662902832
1661460915.653045,39649,0.03051149845123291
1661460919.2875433,39699,0.0345611572265625
1661460922.9290435,39749,0.03202986717224121
1661460926.5910475,39799,0.034766554832458496
1661460937.446044,39949,0.033286094665527344
1661460944.5200455,40049,0.03276324272155762
1661460951.968044,40149,0.036601483821868896
1661460962.867043,40299,0.030032038688659668
1661460970.0170448,40399,0.03174543380737305
1661460973.8285441,40449,0.03423261642456055
1661460977.529544,40499,0.03312385082244873
1661460999.4265454,40799,0.03650486469268799
1661461003.008044,40849,0.030901849269866943
1661461010.5990481,40949,0.032681941986083984
1661461022.030543,41099,0.030611395835876465
1661461037.2280438,41299,0.0320013165473938
1661461048.7630436,41449,0.029535233974456787
1661461059.8590446,41599,0.029664278030395508
1661461063.6365442,41649,0.03380918502807617
1661461071.2295434,41749,0.03455328941345215
1661461078.7960436,41849,0.036200881004333496
1661461086.4175446,41949,0.033673107624053955
1661461105.328543,42199,0.03055328130722046
1661461116.6765435,42349,0.04005599021911621
1661461124.2240436,42449,0.033476054668426514
1661461183.4453058,43199,0.03753829002380371
1661461198.7323067,43399,0.03254711627960205
1661461206.3038087,43499,0.03538680076599121
1661461210.092307,43549,0.03525310754776001
1661461225.205806,43749,0.03236478567123413
