epoch,elo,error
24,15.8,7.7
49,35.4,8.4
74,37.1,8.4
99,16.4,9.0
124,24.3,7.9
149,15.9,10.0
174,24.3,8.7
199,10.4,8.5
224,6.3,9.0
249,3.9,7.7
274,18.1,8.7
299,24.4,9.3
324,15.9,8.2
349,12.2,8.2
374,22.0,8.5
399,28.8,9.2
424,22.0,9.0
449,30.9,9.9
474,26.3,8.6
499,33.7,8.4
524,19.0,8.2
549,13.3,8.8
574,23.8,8.5
599,16.6,8.9
624,14.2,9.6
649,15.2,7.9
674,24.6,8.3
699,29.9,8.3
724,34.0,8.8
749,36.0,8.6
774,22.2,9.3
799,18.8,6.2
