epoch,elo,error
24,58.9,5.7
49,52.5,6.2
74,56.7,6.5
99,66.5,6.4
124,63.0,5.6
149,58.3,6.1
174,65.1,6.6
199,61.0,5.5
224,59.5,6.3
249,58.3,7.0
274,64.9,6.2
299,67.8,6.6
324,58.9,6.1
349,76.8,6.3
374,67.1,6.6
399,58.6,6.9
424,59.2,6.3
449,75.5,6.1
474,70.9,6.6
499,65.9,6.3
524,66.5,5.8
549,50.9,6.5
574,63.3,6.4
599,67.1,6.4
624,66.6,6.3
649,65.3,6.0
674,60.3,6.6
699,70.3,5.7
724,62.1,6.4
749,73.2,6.3
774,70.0,6.0
799,72.3,4.8
