epoch,elo,error
24,-84.2,19.2
49,-61.8,20.0
74,-46.8,17.6
99,3.2,18.4
124,-0.4,19.5
149,-5.4,19.0
174,5.4,20.9
199,5.4,16.0
224,20.8,20.1
249,29.4,21.2
274,12.9,18.4
299,14.3,20.0
324,22.9,19.8
349,34.5,18.6
374,47.9,19.3
399,29.4,16.0
424,34.8,17.6
449,43.9,16.8
474,40.6,17.2
499,41.4,17.4
524,34.1,18.3
549,47.5,20.1
574,49.7,19.2
599,53.7,16.7
624,39.9,20.4
649,52.3,20.6
674,40.3,17.6
699,27.6,21.1
724,71.1,19.6
749,53.4,19.4
774,32.3,16.1
799,50.6,13.3
