epoch,elo,error
24,-156.4,9.0
49,-133.4,8.2
74,-123.7,9.1
99,-105.3,10.7
124,-95.9,8.4
149,-77.7,8.7
174,-79.8,9.2
199,-82.2,8.5
224,-73.9,8.7
249,-71.3,8.2
274,-76.6,8.1
299,-78.5,8.6
324,-60.7,8.8
349,-72.7,8.6
374,-71.1,8.1
399,-57.0,9.6
424,-61.3,9.3
449,-62.6,7.7
474,-61.3,8.9
499,-57.9,8.1
524,-62.6,8.4
549,-46.4,8.6
574,-52.3,8.1
599,-51.1,7.6
624,-57.3,8.4
649,-42.7,8.8
674,-53.1,8.3
699,-44.3,8.3
724,-47.0,9.8
749,-40.4,8.6
774,-41.2,8.4
799,-43.9,5.8
