epoch,elo,error
24,61.6,5.7
49,66.6,6.2
74,55.7,6.6
99,53.7,6.1
124,76.1,5.6
149,73.7,6.0
174,63.4,6.6
199,57.1,5.6
224,55.7,6.3
249,62.8,7.1
274,52.3,6.2
299,59.7,6.7
324,64.4,6.0
349,67.6,6.2
374,71.7,6.5
399,76.2,6.7
424,71.4,6.3
449,65.0,6.2
474,66.3,6.5
499,79.1,6.4
524,68.7,5.8
549,66.5,6.3
574,65.0,6.4
599,83.3,6.4
624,49.7,6.3
649,70.1,6.1
674,67.3,6.6
699,73.0,5.7
724,71.4,6.3
749,78.9,6.3
774,75.7,6.0
799,72.5,4.8
