epoch,elo,error
24,61.9,5.7
49,71.0,6.2
74,58.8,6.6
99,71.2,6.5
124,66.9,5.6
149,65.5,6.1
174,68.8,6.7
199,72.2,5.8
224,68.3,6.2
249,67.8,7.2
274,70.0,6.2
299,83.8,6.4
324,74.6,6.1
349,67.1,6.1
374,69.0,6.6
399,70.1,6.6
424,68.8,6.3
449,73.0,6.1
474,73.7,6.7
499,66.9,6.4
524,71.7,5.7
549,68.3,6.3
574,69.8,6.4
599,71.2,6.5
624,70.2,6.3
649,65.7,6.0
674,81.9,6.8
699,78.8,5.7
724,70.1,6.3
749,78.0,6.3
774,85.0,5.9
799,75.9,4.7
