epoch,elo,error
24,-92.2,7.4
49,-60.5,7.4
74,-45.6,7.8
99,-29.8,7.5
124,-19.3,7.2
149,-11.0,6.3
174,5.7,7.9
199,-6.2,7.7
224,-0.6,6.8
249,-7.3,8.1
274,16.1,7.4
299,5.5,7.3
324,14.8,7.8
349,-15.8,6.6
374,10.9,7.3
399,17.6,7.1
424,7.4,7.3
449,-0.5,7.6
474,15.6,6.9
499,9.7,7.5
524,20.5,7.7
549,10.6,8.2
574,17.5,8.0
599,24.6,8.5
624,14.6,7.5
649,20.7,7.2
674,20.6,7.3
699,14.2,7.5
724,26.3,9.0
749,24.5,8.3
774,20.4,8.1
799,17.7,5.9
