epoch,elo,error
24,61.7,7.6
49,51.2,8.4
74,64.2,8.5
99,61.8,8.8
124,63.6,8.4
149,64.9,9.9
174,71.4,8.4
199,57.6,8.4
224,64.1,9.3
249,61.8,8.3
274,70.2,9.1
299,181.0,9.6
324,69.6,8.5
349,57.2,8.6
374,66.5,8.8
399,79.4,9.2
424,71.0,8.7
449,67.0,10.2
474,65.5,9.2
499,65.2,8.5
524,68.7,8.6
549,72.9,9.2
574,60.4,8.6
599,70.1,8.7
624,70.6,9.6
649,81.2,7.5
674,74.5,8.9
699,80.9,8.4
724,59.6,8.8
749,72.2,8.5
774,68.3,9.8
799,66.0,6.3
