epoch,elo,error
24,-104.7,9.1
49,-53.0,8.6
74,-51.4,8.9
99,-26.2,8.8
124,-21.9,8.0
149,-16.4,9.9
174,5.0,8.7
199,4.5,8.4
224,7.2,9.1
249,8.7,8.2
274,12.1,8.7
299,21.0,8.9
324,26.5,8.3
349,24.1,8.2
374,24.8,8.9
399,27.2,9.4
424,24.7,8.9
449,21.8,9.7
474,36.4,9.2
499,40.5,8.4
524,30.7,8.5
549,28.6,8.9
574,37.5,8.2
599,37.4,9.2
624,43.7,10.1
649,40.9,7.6
674,39.2,9.0
699,40.8,8.3
724,30.0,8.5
749,43.1,8.5
774,41.1,9.3
799,49.3,6.4
