epoch,elo,error
24,-446.5,16.7
49,-446.7,16.4
74,-436.4,15.2
99,-458.4,16.6
124,-408.0,17.4
149,-423.1,16.1
174,-404.8,16.6
199,-411.9,14.9
224,-404.8,15.3
249,-423.3,15.4
274,-419.4,15.9
299,-398.3,14.9
324,-440.4,16.3
349,-424.3,15.7
374,-424.3,14.1
399,-425.7,14.3
424,-408.6,16.8
449,-422.4,14.5
474,-425.4,15.7
499,-418.8,17.1
524,-404.8,13.8
549,-418.3,15.7
574,-430.8,17.9
599,-423.6,14.7
624,-413.0,15.4
649,-431.8,19.7
674,-420.4,17.3
699,-425.9,16.6
724,-406.4,14.7
749,-420.9,14.9
774,-419.2,13.2
799,-406.7,10.0
